Date,Route,Grade,Notes,URL,Pitches,Location,Average Rating,Your Rating,Style,Lead Style,Route Type,Your Suggested Grade,Length In Feet,Rating Code
2026-06-02,Roadside Attraction,5.7,,https://www.mountainproject.com/route/105860741/roadside-attraction,2,Kentucky > Red River Gorge > Natural Bridge Region > Graining Fork Nature Preserve (a.k.a. Roadside Crag),3.8,4,Lead,Flash,Trad,,120,1800
2026-06-02,Wicked Games,5.12d,"Have you ever had a dream that you, um, you had, your, you- you could, you’ll do, you- you wants, you, you could do so, you- you’ll do, you could- you, you want, you want them to do you so much you could do anything?",https://www.mountainproject.com/route/106062725/wicked-games,1,Kentucky > Red River Gorge > Natural Bridge Region > Graining Fork Nature Preserve (a.k.a. Roadside Crag),3.8,4,Lead,Redpoint,Sport,,85,7500
2026-05-23,Stay the Hand,5.12a,,https://www.mountainproject.com/route/105880953/stay-the-hand,1,Kentucky > Red River Gorge > Natural Bridge Region > Graining Fork Nature Preserve (a.k.a. Roadside Crag),3.3,3,Lead,Redpoint,Sport,,50,6600
2026-05-23,Dragonslayer,5.10d,,https://www.mountainproject.com/route/105886633/dragonslayer,1,Kentucky > Red River Gorge > Natural Bridge Region > Graining Fork Nature Preserve (a.k.a. Roadside Crag),3.1,3,Lead,Onsight,Sport,,50,3500
2026-05-17,100 Years of Solitude,5.11a,,https://www.mountainproject.com/route/106937689/100-years-of-solitude,1,Kentucky > Red River Gorge > Muir Valley > Bibliothek,3,2,Lead,Onsight,Sport,,55,4600
2026-05-17,Everything That Rises Must Converge,5.11d,,https://www.mountainproject.com/route/107073613/everything-that-rises-must-converge,1,Kentucky > Red River Gorge > Muir Valley > Bibliothek,3.2,3,Lead,Redpoint,Sport,,60,5500
2026-05-17,Demon Copperhead,5.11d,,https://www.mountainproject.com/route/125548869/demon-copperhead,1,Kentucky > Red River Gorge > Muir Valley > Bibliothek,3.6,3,Lead,Onsight,Sport,,75,5500
2026-05-17,Who Pooped in the Park?,5.11c,An absolute pile.,https://www.mountainproject.com/route/107073580/who-pooped-in-the-park,1,Kentucky > Red River Gorge > Muir Valley > Bibliothek,2.1,1,Lead,Onsight,Sport,,55,5200
2026-05-15,Psycho Babble,5.12a,"Actually a pretty fucking sick rig. 7th pitch of the day, absolute fight to finish, such a cool bit of movement.",https://www.mountainproject.com/route/112007161/psycho-babble,1,West Virginia > The New River Gorge Region > Summersville (Gauley River) Area > Summersville Lake (main) > DC Memorial Boulder,3.4,4,Lead,Redpoint,Sport,,45,6600
2026-05-13,First Steps,5.10c,"Doesn’t even matter if the climbing is good or not, when you see the view at the top you forget about it all.",https://www.mountainproject.com/route/105966939/first-steps,1,West Virginia > The New River Gorge Region > New River Gorge Proper > Kaymoor > 7. Seven Eleven Wall,3.3,3,Lead,Onsight,Sport,,90,3200
2026-05-13,Scenic Adult,5.11c,"Almost a totally sick route, had to drop a star for the fragile feeling, should have broken off, or be taken off flake at the start. Not to mention the loose rock through the crux. Otherwise rad.",https://www.mountainproject.com/route/106461197/scenic-adult,1,West Virginia > The New River Gorge Region > New River Gorge Proper > Kaymoor > 7. Seven Eleven Wall,3.8,3,Lead,Onsight,Sport,,95,5200
2026-05-13,Springer,5.10b,,https://www.mountainproject.com/route/105966922/springer,1,West Virginia > The New River Gorge Region > New River Gorge Proper > Kaymoor > 6. Butcher's Branch,2.6,1,Lead,Onsight,Sport,,75,2900
2026-05-07,Racer X,5.12d,,https://www.mountainproject.com/route/106333629/racer-x,1,Kentucky > Red River Gorge > Natural Bridge Region > Torrent Falls (Limited Access),3.9,-1,Lead,Redpoint,Sport,,80,7500
2026-05-03,American Dream,5.12b/c,,https://www.mountainproject.com/route/106324532/american-dream,1,Kentucky > Red River Gorge > (PMRP) Pendergrass-Murray Recreational Preserve > Coal Bank Hollow > The Dark Side,3.4,3,Lead,Redpoint,Sport,,90,7100
2026-05-02,Code Red,5.13a,,https://www.mountainproject.com/route/202733797/code-red,1,Kentucky > Red River Gorge > (PMRP) Pendergrass-Murray Recreational Preserve > Sore Heel Hollow > What About Bob Wall,4,4,Lead,Redpoint,Sport,5.13a,80,8600
